id_platillo,nombre_es,categoria,subcategoria,estado_tipico,region_tipica,descripcion_es,tipo_estructura,personalizable,nivel_picante_base,riesgo_digestivo_base,nota_cultural_es,recomendacion_turista_es,activo
PL001,quesadilla,antojito,quesadilla,Ciudad de México,Centro,Tortilla doblada con relleno salado que se cocina al comal o en la plancha y se termina con salsa al gusto.,tortilla_rellena,true,bajo,medio,Es una de las familias de antojitos más versátiles del centro del país y cambia mucho según el puesto y la masa.,Conviene confirmar si la versión local lleva queso por defecto y pedir la salsa aparte si se quiere comparar rellenos.,true
PL002,taco dorado,antojito,taco_frito,Jalisco,Occidente,"Taco enrollado o doblado que se fríe hasta quedar crujiente y se sirve con lechuga, crema, queso y salsa.",antojito_frito,true,medio,alto,"Es un clásico de fondas y mercados del occidente, aunque aparece con rellenos distintos en gran parte del país.","Conviene comerlo recién hecho para aprovechar textura y temperatura. Si no estás acostumbrado a comida pesada, empieza con una porción moderada o compártelo.",true
PL003,torta,antojito,torta,Ciudad de México,Centro,"Pan salado relleno con proteína, vegetales, frijoles, lácteos y salsas según el estilo de la tortería.",pan_relleno,true,bajo,medio,Es una comida urbana muy extendida y sirve como punto de entrada para entender rellenos y panes regionales.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL004,pambazo,antojito,pan_relleno_mexicano,Ciudad de México,Centro,"Pan remojado en salsa de chile guajillo, relleno y dorado a la plancha antes de servirse con lechuga, crema y queso.",pan_relleno,true,medio,alto,Es una referencia callejera del altiplano central y suele comerse como antojo abundante de mercado o feria.,"Conviene comerlo recién hecho para aprovechar textura y temperatura. Si no estás acostumbrado a comida pesada, empieza con una porción moderada o compártelo.",true
PL005,sope,antojito,sope,Guerrero,Centro-Sur,"Disco pequeño de masa con borde levantado que recibe frijol, proteína, lácteos y salsa encima.",abierto_con_toppings,true,medio,medio,"Tiene presencia nacional, pero destaca por su flexibilidad para combinar bases, carnes y salsas en una sola orden.",Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL006,gordita,antojito,gordita,Hidalgo,Centro,"Pieza de masa gruesa abierta o cerrada, cocida al comal o frita y rellenada con guisos clásicos.",cerrado_con_relleno,true,bajo,medio,"La forma cambia por región, pero siempre funciona como formato útil para comparar rellenos populares.",Conviene comerlo recién hecho para aprovechar textura y temperatura.,true
PL007,huarache,antojito,huarache,Ciudad de México,Centro,"Base alargada de masa con frijol untado y toppings como carne, nopales, queso y salsas.",abierto_con_toppings,true,medio,medio,Es un antojito urbano grande y muy práctico para explorar combinaciones comunes de la cocina de mercado.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL008,tostada,antojito,tostada,Estado de México,Centro,"Tortilla crujiente cubierta con guisos, mariscos, vegetales, crema, queso o salsas según la casa.",abierto_con_toppings,true,medio,medio,Funciona como lienzo de antojería y permite probar rellenos fríos o calientes en porciones moderadas.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Mejor en un lugar con buena rotación y cadena de frío. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL009,enchiladas,antojito,enchilada,Estado de México,Centro,"Tortillas pasadas por salsa y rellenadas o dobladas, servidas con crema, queso, cebolla o proteína.",tortilla_rellena,true,medio,medio,La familia de enchiladas cambia notablemente entre estados y es muy útil para reconocer estilos regionales.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL010,chilaquiles,desayuno,chilaquiles,Ciudad de México,Centro,"Totopos bañados en salsa roja o verde y rematados con crema, queso, cebolla y proteína opcional.",abierto_con_toppings,true,medio,medio,"Es uno de los desayunos más extendidos del país y cada fonda lo ajusta en humedad, picor y topping.","Vale la pena pedirlo temprano, cuando la textura y las guarniciones suelen estar en su mejor punto. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.",true
PL011,tamal,antojito,tamal,Oaxaca,Sur,"Masa de maíz envuelta en hoja o en tusa, rellena con guisos salados o dulces y cocida al vapor.",cerrado_con_relleno,true,medio,medio,"Es una gran familia culinaria nacional y sirve para comparar técnicas, hojas, masas y rellenos regionales.",Conviene comerlo recién hecho para aprovechar textura y temperatura.,true
PL012,pozole,sopa/caldo,pozole,Guerrero,Centro-Sur,"Caldo de maíz cacahuazintle con carne y guarniciones frescas como lechuga, rábano, cebolla, orégano y chile.",caldo,true,medio,medio,"Es un plato festivo de enorme presencia nacional que cambia de color, proteína y guarniciones según la región.",Suele funcionar bien como plato principal o como entrada abundante si el resto de la comida será ligera.,true
PL013,burrito,antojito,burrito,Chihuahua,Norte,"Tortilla de harina grande enrollada alrededor de frijoles, guisos o carnes de estilo norteño.",cerrado_con_relleno,true,bajo,medio,En el norte funciona como comida práctica de camino y cambia bastante de tamaño y relleno entre ciudades.,Conviene comerlo recién hecho para aprovechar textura y temperatura.,true
PL014,taco,antojito,taco,Sonora,Norte,"Tortilla doblada con un relleno principal y salsas o guarniciones, servida al momento como formato base de la cocina mexicana.",tortilla_rellena,true,medio,medio,Es probablemente el formato más representativo de la comida urbana mexicana y admite enormes diferencias regionales.,"La mejor estrategia es pedir varios de estilos distintos en una misma taquería para comparar grasas, salsas y tortillas.",true
PL015,mollete,desayuno,mollete,Ciudad de México,Centro,"Mitades de pan tostado con frijoles y queso fundido, terminadas con pico de gallo o guisos.",abierto_con_toppings,true,bajo,medio,"Es un desayuno muy común en cafeterías, loncherías y casas urbanas del centro del país.","Vale la pena pedirlo temprano, cuando la textura y las guarniciones suelen estar en su mejor punto. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.",true
PL016,tlacoyo,antojito,tlacoyo,Estado de México,Centro,"Pieza ovalada de masa gruesa con relleno interno, cocida al comal y servida con nopales, queso y salsa.",cerrado_con_relleno,true,medio,medio,Su forma y rellenos lo hacen muy útil para reconocer la cocina de maíz del altiplano central.,Conviene comerlo recién hecho para aprovechar textura y temperatura.,true
